Time: 310338.060; State:  4; ID:  2; absPos(-7.540, 29.300); absVel(-6.625,  1.625); Ellipse(11.41x 9.85); size(0.965)
Time: 310338.068; State:  4; ID:  2; absPos(-7.590, 29.300); absVel(-6.000,  0.250); Ellipse(11.39x 9.89); size(0.957)
Time: 310338.076; State:  4; ID:  2; absPos(-7.630, 29.300); absVel(-5.375, -0.500); Ellipse(11.35x 9.91); size(0.953)
Time: 310338.084; State:  4; ID:  2; absPos(-7.680, 29.290); absVel(-5.625, -1.375); Ellipse(11.44x 9.77); size(0.945)
Time: 310338.092; State:  4; ID:  2; absPos(-7.720, 29.260); absVel(-5.000, -2.625); Ellipse(11.65x 9.76); size(0.949)
Time: 310338.100; State:  4; ID:  2; absPos(-7.760, 29.230); absVel(-5.125, -4.125); Ellipse(11.58x 9.80); size(0.941)
Time: 310338.108; State:  4; ID:  2; absPos(-7.790, 29.190); absVel(-4.375, -5.375); Ellipse(11.48x 9.89); size(0.934)
Time: 310338.116; State:  4; ID:  2; absPos(-7.840, 29.110); absVel(-5.625, -9.250); Ellipse(11.48x 9.90); size(0.930)
Time: 310338.124; State:  4; ID:  2; absPos(-7.900, 29.000); absVel(-7.000, -13.625); Ellipse(11.55x 9.77); size(0.926)
Time: 310338.132; State:  4; ID:  2; absPos(-7.990, 28.800); absVel(-10.375, -22.000); Ellipse(11.67x 9.67); size(0.930)
Time: 310338.140; State:  4; ID:  2; absPos(-8.120, 28.570); absVel(-15.750, -29.000); Ellipse(11.57x 9.61); size(0.926)
Time: 310338.148; State:  4; ID:  2; absPos(-8.260, 28.270); absVel(-17.250, -38.125); Ellipse(11.64x 9.45); size(0.934)
Time: 310338.156; State:  4; ID:  2; absPos(-8.400, 27.890); absVel(-18.250, -47.250); Ellipse(11.86x 9.31); size(0.930)
Time: 310338.164; State:  4; ID:  2; absPos(-8.560, 27.440); absVel(-19.750, -55.375); Ellipse(11.93x 9.15); size(0.926)
Time: 310338.172; State:  4; ID:  2; absPos(-8.720, 26.930); absVel(-19.875, -63.500); Ellipse(11.77x 9.36); size(0.926)
Time: 310338.180; State:  4; ID:  2; absPos(-8.880, 26.360); absVel(-19.875, -72.000); Ellipse(11.64x 9.59); size(0.918)
Time: 310338.188; State:  4; ID:  2; absPos(-9.030, 25.750); absVel(-18.875, -76.375); Ellipse(11.57x 9.78); size(0.918)
Time: 310338.196; State:  4; ID:  2; absPos(-9.150, 25.110); absVel(-14.125, -79.750); Ellipse(11.75x 9.64); size(0.906)
Time: 310338.204; State:  4; ID:  2; absPos(-9.240, 24.470); absVel(-11.375, -79.375); Ellipse(11.84x 9.50); size(0.902)
Time: 310338.212; State:  4; ID:  2; absPos(-9.310, 23.870); absVel(-8.250, -75.500); Ellipse(11.90x 9.36); size(0.902)
